frame_id,subject_id,class_id,class_name,x1,y1,x2,y2,confidence
1,1,0,person,151.22,47.69,635.50,1072.42,0.9267
1,2,0,person,627.20,338.25,845.05,902.11,0.8924
1,3,0,person,63.00,450.89,152.38,674.67,0.7414
1,4,0,person,0.45,460.78,40.27,668.35,0.6650
1,5,0,person,31.87,471.27,74.11,645.83,0.3929
2,1,0,person,160.68,43.36,641.19,1072.56,0.9300
2,2,0,person,624.37,337.85,846.27,901.85,0.8861
2,3,0,person,64.06,450.18,153.74,673.88,0.7892
2,4,0,person,0.50,458.77,41.44,667.00,0.6576
2,5,0,person,33.60,475.40,73.97,643.38,0.3592
3,1,0,person,162.83,44.01,642.00,1072.26,0.9248
3,2,0,person,624.08,336.81,844.87,900.85,0.8839
3,3,0,person,57.53,451.29,153.71,673.55,0.7778
3,4,0,person,0.25,458.65,40.76,667.33,0.6684
3,6,0,person,150.42,490.91,212.43,664.64,0.7019
4,1,0,person,165.57,49.50,642.66,1071.96,0.9263
4,2,0,person,628.21,334.43,844.43,897.08,0.8843
4,3,0,person,57.07,452.61,155.82,672.46,0.7864
4,4,0,person,0.59,456.26,41.37,668.15,0.6769
4,6,0,person,150.33,490.30,213.43,664.06,0.6393
5,1,0,person,168.60,61.86,640.95,1071.66,0.9339
5,2,0,person,632.20,332.51,841.52,894.23,0.8896
5,3,0,person,53.87,452.75,152.93,674.29,0.7405
5,4,0,person,0.00,458.71,40.35,667.08,0.6468
5,6,0,person,146.18,467.00,208.11,661.97,0.5627
6,1,0,person,164.83,83.07,632.41,1071.41,0.9329
6,2,0,person,631.21,330.82,840.31,893.35,0.9000
6,3,0,person,58.48,454.35,154.80,674.75,0.7110
6,4,0,person,0.18,460.17,41.53,665.83,0.6663
7,1,0,person,158.54,96.12,626.55,1070.80,0.9340
7,2,0,person,631.15,327.97,839.65,892.67,0.9012
7,3,0,person,64.58,454.07,155.91,675.16,0.7108
7,4,0,person,0.25,459.63,42.19,665.58,0.6809
7,6,0,person,147.99,455.59,199.27,662.89,0.3832
8,1,0,person,161.17,102.98,620.34,1070.82,0.9376
8,2,0,person,631.57,326.85,838.74,892.19,0.8976
8,3,0,person,66.68,457.58,152.44,674.68,0.6674
8,4,0,person,0.27,459.50,41.53,667.87,0.6843
8,6,0,person,146.28,458.73,200.53,664.15,0.5940
9,1,0,person,161.15,102.26,616.69,1071.14,0.9408
9,2,0,person,633.10,325.84,837.76,891.80,0.8943
9,3,0,person,64.56,454.93,152.35,675.21,0.6827
9,4,0,person,0.36,458.99,41.22,667.98,0.7015
9,6,0,person,145.70,463.28,199.17,664.55,0.5771
10,1,0,person,161.16,99.59,611.80,1070.27,0.9366
10,2,0,person,635.70,325.64,837.50,891.38,0.8909
10,3,0,person,63.03,451.50,155.57,675.00,0.6685
10,4,0,person,0.37,458.60,41.04,669.74,0.7105
10,6,0,person,150.20,466.04,204.72,666.29,0.6550
11,1,0,person,156.52,95.58,609.51,1071.01,0.9393
11,2,0,person,635.91,327.81,837.19,891.06,0.8909
11,3,0,person,61.84,450.33,157.67,674.96,0.7201
11,4,0,person,0.18,458.87,40.94,671.50,0.6901
11,6,0,person,149.21,493.26,205.78,663.75,0.4591
11,5,0,person,32.23,472.73,83.81,659.79,0.3755
12,1,0,person,153.50,96.47,608.70,1070.94,0.9370
12,2,0,person,636.47,330.41,836.20,891.27,0.8916
12,3,0,person,64.28,449.26,156.08,676.80,0.7278
12,4,0,person,0.34,459.04,41.59,670.98,0.6650
12,6,0,person,150.45,500.61,210.23,662.71,0.4202
12,5,0,person,35.38,469.68,85.99,659.32,0.4298
13,1,0,person,151.63,100.27,609.77,1070.78,0.9347
13,2,0,person,635.04,332.74,834.39,890.89,0.8900
13,3,0,person,65.64,448.32,154.77,678.78,0.7007
13,4,0,person,0.20,457.91,41.08,667.92,0.6626
14,1,0,person,152.27,110.08,614.94,1070.89,0.9309
14,2,0,person,632.49,333.65,832.24,890.91,0.8916
14,3,0,person,66.93,446.60,155.86,679.26,0.6973
14,4,0,person,0.17,452.98,41.20,672.22,0.6846
15,1,0,person,154.83,124.39,623.07,1070.63,0.9249
15,2,0,person,629.20,335.96,830.49,891.57,0.8910
15,3,0,person,68.99,449.15,155.66,678.65,0.6530
15,4,0,person,0.20,453.18,41.38,670.59,0.6856
15,6,0,person,147.08,469.10,205.76,661.62,0.3807
15,5,0,person,34.15,470.81,78.29,653.59,0.3817
